Name,LiquidationFee,ListingDate,MaxPrice,MinPrice,TickSize,MaxQuantity,MinQuantity,StepSize,PricePrecision,QuantityPrecision,UnderlyingType
BTCUSDT,0.012500,2019-09-25 수 오전 8:00:00,4529764,556.80,0.10,1000,0.001,0.001,2,0,Coin
ETHUSDT,0.012500,2019-09-25 수 오전 8:00:00,306177,39.86,0.01,10000,0.001,0.001,2,0,Coin
BCHUSDT,0.015000,2019-09-25 수 오전 8:00:00,100000,13.93,0.01,10000,0.001,0.001,2,0,Coin
XRPUSDT,0.012500,2019-09-25 수 오전 8:00:00,100000,0.0143,0.0001,10000000,0.1,0.1,4,0,Coin
EOSUSDT,0.010000,2019-09-25 수 오전 8:00:00,100000,0.111,0.001,1000000,0.1,0.1,3,0,Coin
LTCUSDT,0.015000,2019-09-25 수 오전 8:00:00,100000,3.61,0.01,10000,0.001,0.001,2,0,Coin
TRXUSDT,0.010000,2019-09-25 수 오전 8:00:00,20000,0.00132,0.00001,10000000,1,1,5,0,Coin
ETCUSDT,0.015000,2019-09-25 수 오전 8:00:00,100000,1.051,0.001,100000,0.01,0.01,3,0,Coin
XLMUSDT,0.010000,2019-09-25 수 오전 8:00:00,20000,0.00648,0.00001,10000000,1,1,5,0,Coin
ADAUSDT,0.010000,2019-09-25 수 오전 8:00:00,20000,0.01740,0.00010,2000000,1,1,5,0,Coin
XMRUSDT,0.015000,2019-09-25 수 오전 8:00:00,100000,4.36,0.01,10000,0.001,0.001,2,0,Coin
DASHUSDT,0.015000,2019-09-25 수 오전 8:00:00,100000,3.82,0.01,10000,0.001,0.001,2,0,Coin
ZECUSDT,0.015000,2019-09-25 수 오전 8:00:00,100000,2.85,0.01,10000,0.001,0.001,2,0,Coin
XTZUSDT,0.010000,2019-09-25 수 오전 8:00:00,100000,0.064,0.001,1000000,0.1,0.1,3,0,Coin
BNBUSDT,0.015000,2019-09-25 수 오전 8:00:00,100000,6.600,0.010,100000,0.01,0.01,3,0,Coin
ATOMUSDT,0.017500,2019-09-25 수 오전 8:00:00,100000,0.251,0.001,100000,0.01,0.01,3,0,Coin
ONTUSDT,0.010000,2019-09-25 수 오전 8:00:00,100000,0.0241,0.0001,1000000,0.1,0.1,4,0,Coin
IOTAUSDT,0.010000,2019-09-25 수 오전 8:00:00,100000,0.0205,0.0001,1000000,0.1,0.1,4,0,Coin
BATUSDT,0.010000,2019-09-25 수 오전 8:00:00,100000,0.0134,0.0001,1000000,0.1,0.1,4,0,Coin
VETUSDT,0.010000,2019-09-25 수 오전 8:00:00,2000,0.002080,0.000001,10000000,1,1,6,0,Coin
NEOUSDT,0.015000,2019-09-25 수 오전 8:00:00,100000,1.093,0.001,100000,0.01,0.01,3,0,Coin
QTUMUSDT,0.015000,2019-09-25 수 오전 8:00:00,100000,0.246,0.001,500000,0.1,0.1,3,0,Coin
IOSTUSDT,0.012500,2019-09-25 수 오전 8:00:00,2000,0.000587,0.000001,80000000,1,1,6,0,Coin
THETAUSDT,0.010000,2019-09-25 수 오전 8:00:00,1000,0.1070,0.0001,1000000,0.1,0.1,4,0,Coin
ALGOUSDT,0.010000,2019-09-25 수 오전 8:00:00,1000,0.0141,0.0001,1000000,0.1,0.1,4,0,Coin
ZILUSDT,0.010000,2019-09-25 수 오전 8:00:00,100,0.00219,0.00001,10000000,1,1,5,0,Coin
KNCUSDT,0.015000,2019-09-25 수 오전 8:00:00,181,0.03200,0.00010,5000000,1,1,5,0,Coin
ZRXUSDT,0.015000,2019-09-25 수 오전 8:00:00,1000,0.0179,0.0001,1000000,0.1,0.1,4,0,Coin
COMPUSDT,0.015000,2019-09-25 수 오전 8:00:00,100000,8,0.01,10000,0.001,0.001,2,0,Coin
OMGUSDT,0.015000,2019-09-25 수 오전 8:00:00,1000,0.1060,0.0001,1000000,0.1,0.1,4,0,Coin
DOGEUSDT,0.010000,2019-09-25 수 오전 8:00:00,30,0.002440,0.000010,50000000,1,1,6,0,Coin
SXPUSDT,0.010000,2019-09-25 수 오전 8:00:00,1000,0.0454,0.0001,1000000,0.1,0.1,4,0,Coin
KAVAUSDT,0.010000,2019-09-25 수 오전 8:00:00,653,0.0593,0.0001,1000000,0.1,0.1,4,0,Coin
BANDUSDT,0.017500,2019-09-25 수 오전 8:00:00,783,0.1647,0.0001,2000000,0.1,0.1,4,0,Coin
RLCUSDT,0.020000,2019-09-25 수 오전 8:00:00,432,0.1029,0.0001,1000000,0.1,0.1,4,0,Coin
WAVESUSDT,0.020000,2019-09-25 수 오전 8:00:00,2249,0.3420,0.0001,1000000,0.1,0.1,4,0,Coin
MKRUSDT,0.015000,2019-09-25 수 오전 8:00:00,351788,50,0.10,10000,0.001,0.001,2,0,Coin
SNXUSDT,0.015000,2019-09-25 수 오전 8:00:00,1144,0.164,0.001,1000000,0.1,0.1,3,0,Coin
DOTUSDT,0.015000,2019-09-25 수 오전 8:00:00,2398,0.373,0.001,1000000,0.1,0.1,3,0,Coin
DEFIUSDT,0.015000,2019-09-25 수 오전 8:00:00,230680,33.8,0.1,10000,0.001,0.001,1,0,Index
YFIUSDT,0.017500,2019-09-25 수 오전 8:00:00,3836373,667,1,500,0.001,0.001,1,0,Coin
BALUSDT,0.020000,2019-09-25 수 오전 8:00:00,5000,0.630,0.001,1000000,0.1,0.1,3,0,Coin
CRVUSDT,0.020000,2019-09-25 수 오전 8:00:00,1000,0.031,0.001,1000000,0.1,0.1,3,0,Coin
TRBUSDT,0.015000,2019-09-25 수 오전 8:00:00,5138,1.230,0.001,1000000,0.1,0.1,3,0,Coin
RUNEUSDT,0.010000,2019-09-25 수 오전 8:00:00,839,0.1720,0.0010,10000000,1,1,4,0,Coin
SUSHIUSDT,0.010000,2019-09-25 수 오전 8:00:00,1301,0.1430,0.0001,10000000,1,1,4,0,Coin
EGLDUSDT,0.015000,2019-09-25 수 오전 8:00:00,14295,1.770,0.001,1000000,0.1,0.1,3,0,Coin
SOLUSDT,0.015000,2019-09-25 수 오전 8:00:00,6857,0.4200,0.0010,1000000,1,1,4,0,Coin
ICXUSDT,0.010000,2019-09-25 수 오전 8:00:00,400,0.0234,0.0001,10000000,1,1,4,0,Coin
STORJUSDT,0.015000,2019-09-25 수 오전 8:00:00,121,0.0190,0.0001,10000000,1,1,4,0,Coin
BLZUSDT,0.020000,2019-09-25 수 오전 8:00:00,22,0.00360,0.00001,10000000,1,1,5,0,Coin
UNIUSDT,0.020000,2019-09-25 수 오전 8:00:00,2684,0.3730,0.0010,10000000,1,1,4,0,Coin
AVAXUSDT,0.015000,2019-09-25 수 오전 8:00:00,2403,0.3500,0.0010,100000,1,1,4,0,Coin
FTMUSDT,0.010000,2019-09-25 수 오전 8:00:00,41,0.007700,0.000100,10000000,1,1,6,0,Coin
ENJUSDT,0.010000,2019-09-25 수 오전 8:00:00,153,0.02250,0.00001,10000000,1,1,5,0,Coin
FLMUSDT,0.020000,2019-09-25 수 오전 8:00:00,1000,0.0096,0.0001,10000000,1,1,4,0,Coin
RENUSDT,0.010000,2019-09-25 수 오전 8:00:00,100,0.00880,0.00001,10000000,1,1,5,0,Coin
KSMUSDT,0.015000,2019-09-25 수 오전 8:00:00,28450,4.060,0.001,1000000,0.1,0.1,3,0,Coin
NEARUSDT,0.010000,2019-09-25 수 오전 8:00:00,1000,0.0480,0.0010,10000000,1,1,4,0,Coin
AAVEUSDT,0.015000,2019-09-25 수 오전 8:00:00,38702,4.340,0.010,1000000,0.1,0.1,3,0,Coin
FILUSDT,0.015000,2019-09-25 수 오전 8:00:00,10000,1.381,0.001,10000000,0.1,0.1,3,0,Coin
